lon,lat,sol
77.45088572,18.44462715,13
77.45094676,18.44454339,14
77.45103403,18.44513505,15
77.45149727,18.4452799,16
77.45185605,18.44514836,20
77.45177711,18.44520229,23
77.4518217,18.44516437,29
77.45133181,18.44518,31
77.45119664,18.44470001,32
77.45102446,18.44475218,33
77.45102154,18.44486273,34
77.45102461,18.44494033,43
77.45102047,18.44494297,44
77.45152954,18.44477901,47
77.45181893,18.44487125,48
77.45201926,18.44479579,49
77.45213981,18.44475241,52
77.45222556,18.44466622,65
77.45229762,18.44452862,66
77.45251746,18.44427799,72
77.45258735,18.44412598,73
77.45227652,18.44421927,84
77.45221898,18.4441602,86
77.45220705,18.44388017,91
77.45216155,18.44376271,100
77.45152737,18.44325472,102
77.45119438,18.44299756,103
77.4508644,18.44242315,104
77.45069661,18.44200795,105
77.45067987,18.44187758,107
77.45031774,18.4417782,108
77.4497253,18.44111989,109
77.44964369,18.44019932,110
77.44953798,18.43961086,113
77.44940206,18.43906919,116
77.44941141,18.43957131,122
77.44963506,18.4384589,123
77.44955992,18.4383406,124
77.4498204,18.43804091,126
77.44995909,18.43738112,127
77.44996489,18.43742858,128
77.45041072,18.4370445,129
77.45172525,18.43575518,130
77.45204699,18.43403225,131
77.45229429,18.4324753,134
77.45214885,18.4311366,135
77.45204413,18.43056477,136
77.45215065,18.42997877,137
77.45202888,18.42837239,153
77.45157603,18.42777713,155
77.45164982,18.42769464,157
77.45160663,18.42725346,168
77.45080574,18.42764218,169
77.44920162,18.42844012,170
77.44767726,18.42954757,171
77.44704605,18.42961188,173
77.44679297,18.4296615,175
77.44545493,18.43051391,177
77.44431073,18.43082556,178
77.44436574,18.43073939,180
77.44332408,18.4312302,199
77.44068664,18.43254788,200
77.44128698,18.43270199,201
77.44176055,18.43327345,202
77.44224805,18.43333382,203
77.4424101,18.43339824,204
77.44212095,18.4337851,210
77.442663,18.43391213,237
77.44295996,18.43386612,238
77.44301185,18.43396087,239
77.44301922,18.43396406,248
77.44305879,18.43392588,278
77.44243518,18.433875,280
77.4420248,18.43344178,281
77.44208112,18.4334615,283
77.44144812,18.43277064,285
77.44137302,18.43266059,286
77.4414109,18.43260239,328
77.44134754,18.43260588,333
77.44131401,18.43260907,335
77.4409955,18.43267586,340
77.44162516,18.43112523,340
77.44318654,18.43071284,340
77.44446058,18.43089527,341
77.44550397,18.43038284,341
77.4467485,18.42977022,341
77.44695269,18.42967829,342
77.44710222,18.42951734,343
77.44703986,18.42945563,343
77.44840845,18.42897532,351
77.4523627,18.4292088,351
77.45230704,18.43021393,352
77.4525927,18.4313851,353
77.45211259,18.43285271,353
77.45215282,18.43429739,354
77.45188192,18.43554359,354
77.45177597,18.43592655,354
77.45146282,18.44008813,355
77.45189264,18.44068988,358
77.45189264,18.44068988,359
77.45176859,18.44213006,360
77.45217059,18.44385614,360
77.4524378,18.443894,361
77.45243445,18.44390163,362
77.45147355,18.44622786,379
77.45432473,18.44899614,380
77.45432473,18.44899614,381
77.45894049,18.45119987,382
77.4618594,18.45367134,383
77.46200525,18.45706984,384
77.46193718,18.45728929,385
77.46313311,18.4607914,386
77.46157944,18.46447597,387
77.4583514,18.46719816,388
77.45444141,18.46829721,389
77.45215751,18.46820817,394
77.44869478,18.467845,395
77.44595222,18.46737053,396
77.44515226,18.46678729,397
77.44250357,18.46558393,398
77.43907369,18.4640581,399
77.43610549,18.46194359,400
77.4329777,18.46159599,401
77.4299971,18.46061584,402
77.42575653,18.4593183,404
77.4217825,18.45707811,405
77.41858363,18.4553951,407
77.41413552,18.45383291,408
77.41352767,18.45386026,409
77.41041899,18.45394613,409
77.40902759,18.45420246,413
77.40881771,18.45393532,413
77.40865543,18.45364145,413
77.40856425,18.45315613,413
77.40847707,18.45303146,414
77.40604967,18.45194249,414
77.405186,18.44940515,415
77.40482658,18.44830598,416
77.40210279,18.44894017,418
77.40164179,18.44878815,419
77.40136318,18.44982498,420
77.40143895,18.45049604,421
77.40142219,18.45056632,422
77.40343753,18.45017673,426
77.40449868,18.44999863,427
77.40529429,18.45153095,428
77.40529429,18.45153222,430
77.40753192,18.45286704,432
77.40764424,18.45288325,433
77.40813375,18.4528629,433
77.40836307,18.45332087,433
77.40843549,18.45364909,433
77.40839794,18.45373304,434
77.40851998,18.45409942,434
77.40852334,18.45410642,434
77.40846433,18.45598091,436
77.40874596,18.45710164,437
77.40885124,18.45731155,439
77.40888074,18.45738915,439
77.40890723,18.45763848,441
77.40881369,18.45764262,441
77.40866415,18.45766456,441
77.40857966,18.45766138,441
77.40810055,18.45758854,443
77.40746956,18.45752717,443
77.40714133,18.45761876,448
77.40633801,18.45744513,448
77.40630146,18.45750967,449
77.40627699,18.45789036,455
77.40650296,18.45795715,456
77.4064976,18.45801694,456
77.40644329,18.45809645,460
77.40609259,18.45851434,460
77.40614657,18.45860783,461
77.40614454,18.4586918,461
77.4059739,18.45871915,464
77.40601279,18.45879356,464
77.40609996,18.4588559,474
77.40616769,18.45889532,477
